Date,Open,High,Low,Close,Adj Close,Volume
2006-01-02,7583.930176,7583.930176,7583.930176,7583.930176,7583.930176,0
2006-01-03,7628.560059,7628.560059,7628.560059,7628.560059,7628.560059,0
2006-01-04,7723.709961,7723.709961,7723.709961,7723.709961,7723.709961,0
2006-01-05,7703.319824,7703.319824,7703.319824,7703.319824,7703.319824,0
2006-01-06,7718.470215,7718.470215,7718.470215,7718.470215,7718.470215,0
2006-01-09,7715.589844,7715.589844,7715.589844,7715.589844,7715.589844,0
2006-01-10,7663.729980,7663.729980,7663.729980,7663.729980,7663.729980,0
2006-01-11,7752.060059,7752.060059,7752.060059,7752.060059,7752.060059,0
2006-01-12,7798.100098,7798.100098,7798.100098,7798.100098,7798.100098,0
2006-01-13,7802.500000,7802.500000,7802.500000,7802.500000,7802.500000,0
2006-01-16,7835.669922,7835.669922,7835.669922,7835.669922,7835.669922,0
2006-01-17,7785.629883,7785.629883,7785.629883,7785.629883,7785.629883,0
2006-01-18,7726.450195,7726.450195,7726.450195,7726.450195,7726.450195,0
2006-01-19,7771.609863,7771.609863,7771.609863,7771.609863,7771.609863,0
2006-01-20,7697.529785,7697.529785,7697.529785,7697.529785,7697.529785,0
2006-01-23,7702.660156,7702.660156,7702.660156,7702.660156,7702.660156,0
2006-01-24,7692.560059,7692.560059,7692.560059,7692.560059,7692.560059,0
2006-01-25,7682.689941,7682.689941,7682.689941,7682.689941,7682.689941,0
2006-01-26,7749.410156,7749.410156,7749.410156,7749.410156,7749.410156,0
2006-01-27,7779.430176,7779.430176,7779.430176,7779.430176,7779.430176,0
2006-01-30,7789.319824,7789.319824,7789.319824,7789.319824,7789.319824,0
2006-01-31,7810.879883,7810.879883,7810.879883,7810.879883,7810.879883,0
2006-02-01,7836.169922,7836.169922,7836.169922,7836.169922,7836.169922,0
2006-02-02,7785.939941,7785.939941,7785.939941,7785.939941,7785.939941,0
2006-02-03,7840.790039,7840.790039,7840.790039,7840.790039,7840.790039,0
2006-02-06,7839.609863,7839.609863,7839.609863,7839.609863,7839.609863,0
2006-02-07,7837.339844,7837.339844,7837.339844,7837.339844,7837.339844,0
2006-02-08,7831.899902,7831.899902,7831.899902,7831.899902,7831.899902,0
2006-02-09,7873.609863,7873.609863,7873.609863,7873.609863,7873.609863,0
2006-02-10,7861.569824,7861.569824,7861.569824,7861.569824,7861.569824,0
2006-02-13,7889.279785,7889.279785,7889.279785,7889.279785,7889.279785,0
2006-02-14,7882.430176,7882.430176,7882.430176,7882.430176,7882.430176,0
2006-02-15,7797.200195,7797.200195,7797.200195,7797.200195,7797.200195,0
