Date,Open,High,Low,Close,Adj Close,Volume
2017-10-23,3348.659912,3360.949951,3340.760010,3349.800049,3349.800049,173685000
2017-10-24,3348.449951,3354.729980,3333.409912,3334.669922,3334.669922,172080300
2017-10-25,3328.820068,3344.500000,3327.179932,3343.879883,3343.879883,173928300
2017-10-26,3331.679932,3356.419922,3331.679932,3356.250000,3356.250000,223698200
2017-10-27,3361.209961,3386.439941,3360.760010,3386.439941,3386.439941,275317000
2017-10-30,3385.600098,3392.149902,3369.219971,3375.969971,3375.969971,202829700
2017-10-31,3364.000000,3382.120117,3364.000000,3374.080078,3374.080078,245333300
2017-11-01,3377.189941,3395.760010,3374.580078,3391.610107,3391.610107,272873100
2017-11-02,3384.080078,3393.929932,3358.389893,3380.500000,3380.500000,158347000
2017-11-03,3382.250000,3383.600098,3366.929932,3382.310059,3382.310059,150918600
2017-11-06,3380.360107,3384.199951,3368.100098,3381.850098,3381.850098,171041200
2017-11-07,3389.889893,3416.729980,3389.889893,3413.100098,3413.100098,217255400
2017-11-08,3409.330078,3422.840088,3402.350098,3421.250000,3421.250000,206773100
2017-11-09,3420.260010,3429.209961,3409.110107,3423.909912,3423.909912,268011800
2017-11-10,3409.570068,3431.070068,3403.989990,3420.100098,3420.100098,242103000
2017-11-13,3414.919922,3428.659912,3413.669922,3419.129883,3419.129883,203279700
2017-11-14,3422.040039,3422.459961,3393.659912,3399.090088,3399.090088,315691000
2017-11-15,3390.959961,3396.080078,3366.610107,3368.699951,3368.699951,218458100
2017-11-16,3368.949951,3376.120117,3341.300049,3341.300049,3341.300049,242931800
2017-11-17,3365.699951,3385.330078,3363.479980,3382.379883,3382.379883,217866900
2017-11-20,3382.580078,3390.969971,3374.899902,3386.590088,3386.590088,175272100
2017-11-21,3394.159912,3429.790039,3392.870117,3423.379883,3423.379883,223376000
2017-11-22,3433.729980,3442.780029,3430.020020,3430.020020,3430.020020,190297800
2017-11-23,3439.040039,3440.580078,3417.260010,3423.169922,3423.169922,146187100
2017-11-24,3430.080078,3445.030029,3421.860107,3442.149902,3442.149902,142429600
2017-11-27,3442.889893,3445.620117,3431.330078,3436.360107,3436.360107,140315400
2017-11-28,3435.709961,3443.639893,3427.550049,3442.350098,3442.350098,218413300
2017-11-29,3447.800049,3449.320068,3431.610107,3438.989990,3438.989990,168706600
2017-11-30,3429.070068,3441.189941,3419.739990,3433.540039,3433.540039,499199200
2017-12-01,3441.850098,3462.780029,3440.260010,3449.540039,3449.540039,219861300
2017-12-04,3449.479980,3454.120117,3434.189941,3438.469971,3438.469971,136880300
2017-12-05,3435.889893,3455.969971,3431.129883,3438.060059,3438.060059,208932500
2017-12-06,3426.590088,3429.409912,3387.729980,3397.209961,3397.209961,226998300
2017-12-07,3401.580078,3409.620117,3377.959961,3388.139893,3388.139893,206863100
2017-12-08,3394.389893,3431.639893,3394.389893,3424.639893,3424.639893,195897100
2017-12-11,3430.199951,3463.020020,3428.239990,3460.449951,3460.449951,171724800
2017-12-12,3459.649902,3465.540039,3447.489990,3465.540039,3465.540039,148691200
2017-12-13,3459.929932,3469.070068,3451.000000,3468.770020,3468.770020,189230800
2017-12-14,3469.280029,3469.360107,3428.379883,3435.780029,3435.780029,151223900
2017-12-15,3416.290039,3424.540039,3412.229980,3416.939941,3416.939941,230889000
2017-12-18,3422.899902,3427.649902,3404.120117,3414.820068,3414.820068,155148400
2017-12-19,3422.010010,3426.229980,3404.469971,3404.469971,3404.469971,176203000
2017-12-20,3403.699951,3406.750000,3389.010010,3394.870117,3394.870117,181017500
2017-12-21,3389.179932,3395.629883,3381.449951,3382.530029,3382.530029,148152500
2017-12-22,3390.300049,3397.070068,3380.639893,3385.709961,3385.709961,158486300
2017-12-26,3383.979980,3386.060059,3370.219971,3378.159912,3378.159912,98619000
2017-12-27,3383.379883,3396.780029,3380.919922,3391.669922,3391.669922,92757900
2017-12-28,3391.610107,3404.810059,3390.860107,3399.100098,3399.100098,103737300
2017-12-29,3400.909912,3407.260010,3390.469971,3402.919922,3402.919922,184812500
2018-01-02,3406.479980,3433.820068,3403.870117,3430.300049,3430.300049,174729900
2018-01-03,3434.699951,3468.189941,3432.870117,3464.280029,3464.280029,180679600
2018-01-04,3476.429932,3501.159912,3465.949951,3501.159912,3501.159912,395236400
2018-01-05,3502.340088,3503.679932,3480.219971,3489.449951,3489.449951,191860800
2018-01-08,3498.620117,3514.760010,3494.540039,3512.179932,3512.179932,134677200
2018-01-09,3514.760010,3531.560059,3514.520020,3524.649902,3524.649902,183381400
2018-01-10,3518.760010,3523.459961,3511.030029,3520.449951,3520.449951,184379900
2018-01-11,3523.939941,3523.939941,3511.620117,3512.679932,3512.679932,153866500
2018-01-12,3527.550049,3530.689941,3516.729980,3520.560059,3520.560059,209787100
2018-01-15,3532.010010,3539.169922,3528.639893,3536.409912,3536.409912,175325000
