Date,Open,High,Low,Close,Adj Close,Volume
3/3/2005,637.330017,641.090027,633.940002,638.289978,638.289978,16162400
4/3/2005,638.289978,646,638.289978,644.950012,644.950012,16368200
7/3/2005,644.950012,647.640015,643.590027,643.859985,643.859985,14888300
8/3/2005,643.859985,645.059998,637.619995,637.97998,637.97998,15230900
9/3/2005,637.97998,637.97998,631.070007,631.080017,631.080017,17049700
10/3/2005,631.080017,631.650024,624.809998,626.940002,626.940002,16040200
11/3/2005,626.940002,631.539978,624.580017,626.840027,626.840027,14498200
14/3/2005,626.840027,630.299988,626.400024,630.299988,630.299988,14374300
15/3/2005,630.299988,635.090027,626.650024,626.820007,626.820007,15135300
16/3/2005,626.820007,627.109985,621.780029,622.919983,622.919983,16531900
17/3/2005,622.919983,626.869995,621.650024,625.460022,625.460022,15819300
18/3/2005,625.460022,626.960022,619.52002,622.570007,622.570007,23443700
21/3/2005,622.570007,623.049988,617.76001,621.570007,621.570007,18194400
22/3/2005,621.570007,628.090027,618.22998,618.580017,618.580017,21144700
23/3/2005,618.580017,618.580017,612.059998,612.059998,612.059998,22468700
24/3/2005,612.059998,619.650024,612.059998,615.27002,615.27002,17217200
28/3/2005,615.27002,618.330017,614.419983,615.119995,615.119995,17462200
29/3/2005,615.119995,618.820007,603.75,604.630005,604.630005,22232500
30/3/2005,604.630005,614.900024,604.630005,614.900024,614.900024,20971100
31/3/2005,614.900024,615.76001,611.960022,615.070007,615.070007,22142300
1/4/2005,615.070007,620.73999,608.820007,611.549988,611.549988,21686900
4/4/2005,611.539978,615.130005,606.820007,613.76001,613.76001,20797700
5/4/2005,613.76001,616.400024,613.109985,614.5,614.5,18708000
6/4/2005,614.5,620.900024,614.5,616.210022,616.210022,17974000
7/4/2005,616.210022,620.809998,613.630005,619.76001,619.76001,19006200
8/4/2005,619.76001,619.76001,610.650024,610.75,610.75,16613300
11/4/2005,610.75,611.789978,606.289978,607.169983,607.169983,15253100
12/4/2005,607.169983,613.669983,600.72998,613.030029,613.030029,19798300
13/4/2005,613.030029,613.030029,601.700012,602.539978,602.539978,20497400
14/4/2005,602.539978,603.619995,591.940002,591.940002,591.940002,23550400
15/4/2005,591.940002,592.469971,579.650024,580.780029,580.780029,26899600
18/4/2005,580.780029,586.77002,577.659973,585.330017,585.330017,21806700
19/4/2005,585.330017,594.940002,585.330017,594.940002,594.940002,21427000
20/4/2005,594.940002,595.950012,584.929993,584.960022,584.960022,22170500
21/4/2005,584.960022,599.140015,584.960022,598.97998,598.97998,23085600
22/4/2005,598.97998,598.97998,584.640015,589.530029,589.530029,20458800
25/4/2005,589.530029,596.440002,589.530029,596.440002,596.440002,17950300
26/4/2005,596.440002,598.309998,587.460022,587.659973,587.659973,19597400
27/4/2005,587.659973,590.590027,580.659973,587.140015,587.140015,21515200
28/4/2005,587.140015,587.140015,575.02002,575.02002,575.02002,21822700
29/4/2005,575.02002,579.72998,570.030029,579.380005,579.380005,23623600
2/5/2005,579.380005,585.859985,579.190002,585.859985,585.859985,19800400
3/5/2005,585.859985,589.26001,582.200012,584.47998,584.47998,21670200
4/5/2005,584.47998,595.26001,584.47998,595.219971,595.219971,23064800
5/5/2005,595.219971,598.330017,591.140015,595.640015,595.640015,19971000
6/5/2005,595.640015,599.030029,594.590027,596.52002,596.52002,17072000
9/5/2005,596.52002,602.919983,594.210022,602.909973,602.909973,18570200
10/5/2005,602.909973,602.909973,593.859985,595.039978,595.039978,18896600
11/5/2005,595.039978,596.469971,588.429993,595.570007,595.570007,18349700
12/5/2005,595.570007,597.369995,585.630005,586.890015,586.890015,19952900
13/5/2005,586.890015,588.76001,578.140015,582.02002,582.02002,21885900
16/5/2005,582.02002,591.710022,582.02002,591.710022,591.710022,18568600
17/5/2005,591.710022,595.650024,587.76001,595.27002,595.27002,18872600
18/5/2005,595.27002,607.880005,595.27002,607.880005,607.880005,22663200
19/5/2005,607.880005,611.059998,606.950012,610.460022,610.460022,17758600
20/5/2005,610.460022,610.580017,605.47998,609.409973,609.409973,16317500
23/5/2005,609.409973,615.080017,609.380005,612.869995,612.869995,16811700
24/5/2005,612.869995,613.690002,610.140015,612.950012,612.950012,16810000
25/5/2005,612.950012,612.950012,605.330017,606.400024,606.400024,17421800
26/5/2005,606.400024,614.700012,606.400024,614.700012,614.700012,16541100
27/5/2005,614.700012,617.590027,612.700012,616.900024,616.900024,13814300
31/5/2005,616.900024,619.390015,615.679993,616.710022,616.710022,18406800
1/6/2005,616.710022,624.830017,616.700012,623.73999,623.73999,18101000
2/6/2005,623.76001,625.679993,621.840027,625.23999,625.23999,18137900
3/6/2005,625.23999,626.380005,619.150024,620.299988,620.299988,16275200
6/6/2005,620.309998,623.080017,618.690002,622.940002,622.940002,15471200
7/6/2005,622.940002,630.919983,622.940002,623.780029,623.780029,18513700
8/6/2005,623.780029,626.049988,619.719971,620.469971,620.469971,17154900
9/6/2005,620.469971,626.289978,617.22998,626.22998,626.22998,18241200
10/6/2005,626.22998,627.690002,624.409973,626.330017,626.330017,16641800
13/6/2005,626.330017,630.400024,624.679993,629.02002,629.02002,16613500
14/6/2005,629.02002,634.390015,628.27002,634.390015,634.390015,16981500
15/6/2005,634.390015,637.190002,629.940002,637.190002,637.190002,18404400
16/6/2005,637.190002,644.030029,636.830017,644.030029,644.030029,17760400
17/6/2005,644.030029,648.190002,642.059998,644.190002,644.190002,24073700
20/6/2005,644.190002,644.190002,640.25,641.840027,641.840027,17145300
21/6/2005,641.840027,643.309998,640.190002,641.039978,641.039978,17207000
22/6/2005,641.039978,645.640015,639.929993,643.450012,643.450012,18232500
23/6/2005,643.450012,644.27002,634.059998,634.119995,634.119995,20299200
24/6/2005,634.119995,634.119995,625.840027,630.409973,630.409973,24188000
27/6/2005,630.409973,630.409973,625.840027,628.309998,628.309998,17386200
28/6/2005,628.309998,641.549988,628.309998,641.47998,641.47998,17724100
29/6/2005,641.47998,643.23999,640.280029,642.76001,642.76001,17692800
30/6/2005,642.76001,646.039978,639.099976,639.659973,639.659973,21094900
1/7/2005,639.659973,643.039978,638.929993,643.039978,643.039978,15938200
5/7/2005,643.039978,653.22998,641.809998,653.22998,653.22998,18058200
6/7/2005,653.22998,654.320007,647.799988,648.27002,648.27002,18834700
7/7/2005,648.27002,649.530029,639.119995,649.299988,649.299988,19524400
8/7/2005,649.299988,662.690002,649.299988,662.140015,662.140015,19008100
11/7/2005,662.140015,672.320007,662.140015,671.73999,671.73999,18463000
12/7/2005,671.73999,674.330017,667.349976,670.789978,670.789978,19320100
13/7/2005,670.789978,671.280029,665.98999,667.650024,667.650024,18125000
14/7/2005,667.650024,673.23999,662.109985,663.02002,663.02002,20487100
15/7/2005,663.02002,664.669983,658.400024,663.73999,663.73999,17164000
18/7/2005,663.73999,663.73999,658.030029,658.559998,658.559998,15821000
19/7/2005,658.559998,669.070007,658.559998,668.859985,668.859985,20412800
20/7/2005,668.859985,677.869995,666.090027,677.559998,677.559998,20633400
21/7/2005,677.559998,677.559998,666.669983,667.099976,667.099976,21298400
22/7/2005,667.099976,677.780029,667.099976,677.780029,677.780029,17669900
25/7/2005,677.780029,679.599976,670.409973,670.98999,670.98999,17175800
26/7/2005,670.98999,676.369995,670.030029,674.580017,674.580017,19341800
27/7/2005,674.580017,675.359985,668.820007,674.880005,674.880005,19458000
28/7/2005,674.880005,683.049988,674.099976,683.039978,683.039978,20016800
29/7/2005,683.039978,684.809998,678.599976,679.75,679.75,17896000
1/8/2005,679.75,685.179993,679.75,682.799988,682.799988,17168700
2/8/2005,682.799988,688.51001,682.799988,688.51001,688.51001,20431200
3/8/2005,688.51001,688.51001,682.630005,683.380005,683.380005,19999800
4/8/2005,683.380005,683.380005,671.619995,671.840027,671.840027,19812200
5/8/2005,671.840027,671.840027,660.809998,662.789978,662.789978,19302800
8/8/2005,662.789978,666.299988,659.090027,659.599976,659.599976,18041400
9/8/2005,659.599976,663.219971,658.549988,660.47998,660.47998,18975200
10/8/2005,660.47998,668.200012,656.289978,660.159973,660.159973,21723200
11/8/2005,660.159973,666.369995,659.23999,666.369995,666.369995,19415600
12/8/2005,666.369995,666.369995,655.26001,660,660,17093000
